date,close
2021-08-10,12.98
2021-08-11,12.96
2021-08-12,12.91
2021-08-13,12.84
2021-08-16,12.81
2021-08-17,12.69
2021-08-18,12.78
2021-08-19,12.57
2021-08-20,12.49
2021-08-23,12.64
2021-08-24,12.71
2021-08-25,12.78
2021-08-26,12.74
2021-08-27,12.87
2021-08-30,12.97
2021-08-31,13.01
2021-09-01,13.02
2021-09-02,12.92
2021-09-03,12.99
2021-09-06,12.99
2021-09-07,12.99
2021-09-08,12.89
2021-09-09,12.89
2021-09-10,12.99
2021-09-13,13.02
2021-09-14,13.06
2021-09-15,13.05
2021-09-16,13.06
2021-09-17,13.1
2021-09-22,12.97
2021-09-23,13.1
2021-09-24,13.13
2021-09-27,13.18
2021-09-28,13.15
2021-09-29,12.99
2021-09-30,13.03
2021-10-01,12.9
2021-10-04,12.84
2021-10-05,12.85
2021-10-06,12.87
2021-10-07,13.02
2021-10-08,13.01
2021-10-12,12.92
2021-10-13,12.9
2021-10-14,12.92
2021-10-15,12.99
2021-10-18,13.01
2021-10-19,13.02
2021-10-20,13.02
2021-10-21,13.01
2021-10-22,13.02
2021-10-25,13.05
2021-10-26,13.12
2021-10-27,13.14
2021-10-28,13.15
2021-10-29,13.11
2021-11-01,13.11
2021-11-02,13.12
2021-11-03,13.17
2021-11-04,13.18
2021-11-05,13.2
2021-11-08,13.27
2021-11-09,13.35
2021-11-10,13.37
2021-11-11,13.36
2021-11-12,13.4
2021-11-15,13.49
2021-11-16,13.5
2021-11-17,13.55
2021-11-18,13.63
2021-11-19,13.59
2021-11-22,13.61
2021-11-23,13.52
2021-11-24,13.56
2021-11-25,13.6
2021-11-26,13.43
2021-11-29,13.37
2021-11-30,13.38
2021-12-01,13.47
2021-12-02,13.47
2021-12-03,13.55
2021-12-06,13.58
2021-12-07,13.63
2021-12-08,13.66
2021-12-09,13.67
2021-12-10,13.68
2021-12-13,13.67
2021-12-14,13.58
2021-12-15,13.61
2021-12-16,13.69
2021-12-17,13.7
2021-12-20,13.62
2021-12-21,13.68
2021-12-22,13.71
2021-12-23,13.74
2021-12-24,13.76
2021-12-27,13.82
2021-12-28,13.87
2021-12-29,13.92
2021-12-30,13.92
2022-01-03,13.87
2022-01-04,13.93
2022-01-05,13.92
2022-01-06,13.91
2022-01-07,13.88
2022-01-10,13.92
2022-01-11,13.98
2022-01-12,14.06
2022-01-13,14.15
2022-01-14,14.09
2022-01-17,14.07
2022-01-18,14.12
2022-01-19,14.1
2022-01-20,14.1
2022-01-21,13.92
2022-01-24,13.92
2022-01-25,13.77
2022-01-26,13.81
2022-02-07,14.01
2022-02-08,14.15
2022-02-09,14.24
2022-02-10,14.27
2022-02-11,14.25
2022-02-14,14.15
2022-02-15,14.12
2022-02-16,14.18
2022-02-17,14.25
2022-02-18,14.31
2022-02-21,14.35
2022-02-22,14.28
2022-02-23,14.26
2022-02-24,14.02
2022-02-25,14.03
2022-03-01,14.23
2022-03-02,14.23
2022-03-03,14.26
2022-03-04,14.15
2022-03-07,13.87
2022-03-08,13.64
2022-03-09,13.74
2022-03-10,13.98
2022-03-11,13.93
2022-03-14,14.01
2022-03-15,13.9
2022-03-16,14.01
2022-03-17,14.18
2022-03-18,14.18
2022-03-21,14.21
2022-03-22,14.23
2022-03-23,14.3
2022-03-24,14.29
2022-03-25,14.25
2022-03-28,14.24
2022-03-29,14.21
2022-03-30,14.29
2022-03-31,14.27
2022-04-01,14.26
2022-04-06,14.31
2022-04-07,14.18
2022-04-08,14.25
2022-04-11,14.16
2022-04-12,14.1
2022-04-13,14.21
2022-04-14,14.1
2022-04-15,14.04
2022-04-18,13.95
2022-04-19,13.98
2022-04-20,13.99
2022-04-21,13.99
2022-04-22,14.01
2022-04-25,13.83
2022-04-26,13.87
2022-04-27,13.72
2022-04-28,13.77
2022-04-29,13.88
2022-05-03,13.83
2022-05-04,13.89
2022-05-05,13.92
2022-05-06,13.77
2022-05-09,13.53
2022-05-10,13.53
2022-05-11,13.41
2022-05-12,13.15
2022-05-13,13.2
2022-05-16,13.2
2022-05-17,13.2
2022-05-18,13.32
2022-05-19,13.17
2022-05-20,13.21
2022-05-23,13.14
2022-05-24,13.05
2022-05-25,13.13
2022-05-26,13.08
2022-05-27,13.22
2022-05-30,13.41
2022-05-31,13.42
2022-06-01,13.44
2022-06-02,13.38
2022-06-06,13.37
2022-06-07,13.3
2022-06-08,13.37
2022-06-09,13.29
2022-06-10,13.23
2022-06-13,13.02
2022-06-14,13.03
2022-06-15,13.01
2022-06-16,12.95
2022-06-17,12.83
2022-06-20,12.63
2022-06-21,12.9
2022-06-22,12.73
2022-06-23,12.74
2022-06-24,12.81
2022-06-27,12.92
2022-06-28,12.85
2022-06-29,12.78
2022-06-30,12.51
2022-07-01,12.31
2022-07-04,12.28
2022-07-05,12.32
2022-07-06,12.06
2022-07-07,12.17
2022-07-08,12.21
2022-07-11,12.17
2022-07-12,11.99
2022-07-13,12.25
2022-07-14,12.27
2022-07-15,12.15
2022-07-18,12.25
2022-07-19,12.25
2022-07-20,12.33
2022-07-21,12.44
2022-07-22,12.45
2022-07-25,12.54
2022-07-26,12.5
2022-07-27,12.57
2022-07-28,12.62
2022-07-29,12.69
2022-08-01,12.72
2022-08-02,12.61
2022-08-03,12.58
2022-08-04,12.59
2022-08-05,12.74
2022-08-08,12.8
2022-08-09,12.88
2022-08-10,12.84
2022-08-11,12.98
2022-08-12,13.01
2022-08-15,13.01
2022-08-16,13.07
2022-08-17,13.06
2022-08-18,13.09
2022-08-19,13.11
2022-08-22,13.1
2022-08-23,13.0
2022-08-24,12.98
2022-08-25,13.03
2022-08-26,13.09
2022-08-29,12.91
2022-08-30,12.96
2022-08-31,13.0
2022-09-01,12.86
2022-09-02,12.82
2022-09-05,12.85
2022-09-06,12.85
2022-09-07,12.74
2022-09-08,12.93
2022-09-12,13.05
2022-09-13,13.11
2022-09-14,12.95
2022-09-15,13.02
2022-09-16,12.9
2022-09-19,12.89
2022-09-20,12.92
2022-09-21,12.82
2022-09-22,12.69
2022-09-23,12.64
2022-09-26,12.43
2022-09-27,12.42
2022-09-28,12.25
2022-09-29,12.3
2022-09-30,12.24
2022-10-03,12.11
2022-10-04,12.27
2022-10-05,12.37
2022-10-06,12.35
2022-10-07,12.27
2022-10-11,12.05
2022-10-12,12.11
2022-10-13,11.93
2022-10-14,11.98
2022-10-17,11.89
2022-10-18,11.92
2022-10-19,11.91
2022-10-20,11.84
2022-10-21,11.83
2022-10-24,11.82
