date,close
2018-06-20,29.33
2018-06-21,29.11
2018-06-22,29.35
2018-06-25,29.56
2018-06-26,29.57
2018-06-27,29.63
2018-06-28,29.99
2018-06-29,29.87
2018-07-02,29.84
2018-07-03,30.02
2018-07-04,30.0
2018-07-05,30.04
2018-07-06,30.07
2018-07-09,30.03
2018-07-10,29.87
2018-07-11,30.03
2018-07-12,30.07
2018-07-13,30.1
2018-07-16,30.25
2018-07-17,30.07
2018-07-18,30.1
2018-07-19,30.03
2018-07-20,30.25
2018-07-23,29.9
2018-07-24,29.64
2018-07-25,29.71
2018-07-26,29.52
2018-07-27,29.51
2018-07-30,29.57
2018-07-31,29.64
2018-08-01,29.56
2018-08-02,29.45
2018-08-03,29.49
2018-08-06,29.56
2018-08-07,29.6
2018-08-08,29.46
2018-08-09,29.47
2018-08-10,29.77
2018-08-13,30.04
2018-08-14,29.99
2018-08-15,29.99
2018-08-16,30.09
2018-08-17,30.03
2018-08-20,30.09
2018-08-21,29.93
2018-08-22,30.26
2018-08-23,30.33
2018-08-24,30.32
2018-08-27,30.34
2018-08-28,30.2
2018-08-29,30.06
2018-08-30,30.07
2018-08-31,30.17
2018-09-03,30.12
2018-09-04,30.11
2018-09-05,29.94
2018-09-06,29.91
2018-09-07,30.01
2018-09-10,29.79
2018-09-11,29.88
2018-09-12,29.74
2018-09-13,29.74
2018-09-14,29.74
2018-09-17,29.67
2018-09-18,29.64
2018-09-19,29.34
2018-09-20,29.25
2018-09-21,29.2
2018-09-25,29.03
2018-09-26,29.08
2018-09-27,29.19
2018-09-28,29.15
2018-10-01,29.02
2018-10-02,28.96
2018-10-03,29.07
2018-10-04,28.47
2018-10-05,28.59
2018-10-08,28.4
2018-10-09,28.42
2018-10-11,28.92
2018-10-12,28.62
2018-10-15,28.77
2018-10-16,28.66
2018-10-17,28.7
2018-10-18,28.63
2018-10-19,28.66
2018-10-22,28.59
2018-10-23,28.66
2018-10-24,28.71
2018-10-25,28.86
2018-10-26,28.9
2018-10-29,28.94
2018-10-30,28.85
2018-10-31,28.62
2018-11-01,28.5
2018-11-02,28.33
2018-11-05,28.08
2018-11-06,28.24
2018-11-07,28.29
2018-11-08,28.13
2018-11-09,28.29
2018-11-12,28.46
2018-11-13,28.57
2018-11-14,28.69
2018-11-15,28.66
2018-11-16,28.7
2018-11-19,28.89
2018-11-20,28.88
2018-11-21,28.72
2018-11-22,28.75
2018-11-23,28.98
2018-11-26,28.99
2018-11-27,28.97
2018-11-28,28.94
2018-11-29,28.9
2018-11-30,28.86
2018-12-03,28.83
2018-12-04,29.26
2018-12-05,29.5
2018-12-06,29.76
2018-12-07,29.69
2018-12-10,29.86
2018-12-11,29.86
2018-12-12,29.83
2018-12-13,29.71
2018-12-14,29.75
2018-12-17,29.83
2018-12-18,29.98
2018-12-19,30.14
2018-12-20,30.67
2018-12-21,30.24
2018-12-24,30.36
2018-12-25,30.5
2018-12-26,30.6
2018-12-27,30.34
2018-12-28,30.23
2019-01-02,30.48
2019-01-03,30.88
2019-01-04,31.13
2019-01-07,30.73
2019-01-08,30.72
2019-01-09,30.58
2019-01-10,30.62
2019-01-11,30.37
2019-01-14,30.5
2019-01-15,30.35
2019-01-16,30.33
2019-01-17,30.39
2019-01-18,30.32
2019-01-21,30.22
2019-01-22,30.28
2019-01-23,30.4
2019-01-24,30.36
2019-01-25,30.45
2019-01-28,30.29
2019-01-29,30.31
2019-01-30,30.41
2019-02-11,30.83
2019-02-12,30.74
2019-02-13,30.66
2019-02-14,30.66
2019-02-15,30.83
2019-02-18,30.82
2019-02-19,30.84
2019-02-20,30.9
2019-02-21,30.73
2019-02-22,30.57
2019-02-25,30.7
2019-02-26,30.65
2019-02-27,30.68
